question,answer
Who is the main protagonist in The Legend of Zelda series?,Link
Who is the primary antagonist in many of The Legend of Zelda games?,Ganon or Ganondorf
What is the name of the fictional kingdom where The Legend of Zelda series takes place?,Hyrule
What is the name of the princess that Link often rescues?,Princess Zelda
What is the name of the iconic weapon that Link wields in most games?,The Master Sword
What magical artifact does Link collect in The Legend of Zelda: Ocarina of Time?,The Triforce
Which game introduced the open-world gameplay style in The Legend of Zelda series?,The Legend of Zelda: Breath of the Wild
What is the name of the instrument Link plays in The Legend of Zelda: Ocarina of Time?,The Ocarina
"In The Legend of Zelda: Majora's Mask, how many days does Link have to save the world?",Three days
What is the main villain in The Legend of Zelda: Twilight Princess?,Zant
